Noise [%],Seebeck: sample mean [%],Seebeck: half-length of 95% confidence interval for population mean [%],Seebeck: sample standard deviation [%],elec_resi: sample mean [%],elec_resi: half-length of 95% confidence interval for population mean [%],elec_resi: sample standard deviation [%],thrm_cond: sample mean [%],thrm_cond: half-length of 95% confidence interval for population mean [%],thrm_cond: sample standard deviation [%]
0,2.0566168786017145,0.5025384460107721,4.240921211656671,2.767392522829992,0.4799780140502496,4.050533759303491,2.078501719712225,0.4817817585529171,4.065755556526161
1,2.441427737223227,0.49366769110638675,4.166060923979082,2.9951807758135462,0.46929450113988225,3.96037560946193,2.3657965212468794,0.47011413795179113,3.9672925233201073
2,2.9621206450245547,0.4746047976894685,4.005189194285338,3.469048039207213,0.45460109211044625,3.8363779521301615,2.9068098096697454,0.4574766927060877,3.8606451413554157
3,3.639484155949308,0.45845037428811986,3.8688620388035986,4.019785725197026,0.4368451782574183,3.68653582106654,3.627224618441215,0.43654365638752984,3.683991278447087
4,4.473825365001467,0.4655800214781393,3.92902912102348,4.682012932420562,0.42468151442422347,3.5838866797497952,4.419191357771789,0.4440584708219425,3.747408786479659
5,5.297927200158434,0.4328274359279321,3.6526300994180843,5.37632363883186,0.3927954924085422,3.314800586546181,5.126392653240375,0.387086680116796,3.2666239279569314
6,6.000697511282216,0.4449162824951799,3.7546478579368125,6.224185862993862,0.4041697150249395,3.4107876345877757,5.8893952908527885,0.38874067168304327,3.2805819603679462
7,6.820607494980318,0.4395950036691244,3.7097415936983262,6.8915874609636045,0.38467808328888914,3.2462977828452795,6.797577725200298,0.42938547673676897,3.623583410832695
8,7.693514630243855,0.43666779638662245,3.685038895718056,7.525684098748387,0.4115074729041668,3.4727109626098245,7.5575650000592,0.42477602455191327,3.5846842505792864
9,8.703120633700873,0.42872495602377264,3.6180092775007657,8.279404041792297,0.37883415916783264,3.1969809157258844,8.268362993883638,0.4024813558393506,3.396539573887349
10,9.305084174811268,0.42509871685905953,3.587407450487828,9.079973849349665,0.3841183587542099,3.241574268314901,9.151899880812861,0.414411540120625,3.4972183816065603
