# of nodes,max_zT: sample mean [%],max_zT: half-length of 95% confidence interval for population mean [%],max_zT: sample standard deviation [%],T_for_(max_zT): sample mean [%],T_for_(max_zT): half-length of 95% confidence interval for population mean [%],T_for_(max_zT): sample standard deviation [%],max_power_density: sample mean [%],max_power_density: half-length of 95% confidence interval for population mean [%],max_power_density: sample standard deviation [%],I_for_(max_power_density): sample mean [%],I_for_(max_power_density): half-length of 95% confidence interval for population mean [%],I_for_(max_power_density): sample standard deviation [%],max_efficiency: sample mean [%],max_efficiency: half-length of 95% confidence interval for population mean [%],max_efficiency: sample standard deviation [%],I_for_(max_efficiency): sample mean [%],I_for_(max_efficiency): half-length of 95% confidence interval for population mean [%],I_for_(max_efficiency): sample standard deviation [%]
8,1.1204508950394108,0.423202874115101,3.571408436341462,1.4001463247528254,0.3742975399483588,3.1586963927609215,0.4759035461784557,0.11199515443040009,0.9451269446088655,0.3272121177994693,0.06982623152377335,0.5892634658102806,0.4668521300251709,0.1191599112498514,1.0055903169402265,0.29883306758977035,0.06397995559800614,0.5399267518143678
9,1.221524942093188,0.7208221451658292,6.083017029905215,1.2740906175882307,0.38239890586909187,3.2270638079295773,0.4336882038392016,0.08982849955973704,0.7580625765416859,0.2987187317169644,0.059169654307316036,0.49933262625027147,0.39916586230782225,0.09746647456927039,0.8225194364877588,0.27192832664904404,0.05495397936964333,0.4637565516105167
10,1.3472147870305404,0.8379040655202903,7.071071184715269,1.2701861818753395,0.3699199594482114,3.1217539973159933,0.3584086983225363,0.08306499027594053,0.7009853315774774,0.26517151859437416,0.0619505337542358,0.5228004638398542,0.31111375592411966,0.07692788442366862,0.6491943042567053,0.24294140829820932,0.058870125711233165,0.49680490486555107
11,0.7201109611315419,0.3011027341900869,2.5410055339073256,0.9091032880657851,0.2795250414712932,2.3589114165792755,0.27536102382155986,0.07018087968572198,0.5922563411308103,0.20219867391044827,0.043093674432273604,0.3636674555724209,0.24403789073433887,0.06907550383374757,0.5829280759309953,0.18813307134160784,0.039928849656983505,0.33695950391768
12,0.6618289127711727,0.26293722702109007,2.2189268746694535,1.2451817623815564,0.3763563084534985,3.1760703371678547,0.20292993427303174,0.0419276151023518,0.35382708259086887,0.1514730772080076,0.03075424050393531,0.25953499067956737,0.19262549350756739,0.0414006253450025,0.3493798167985507,0.14006281537239995,0.028649053369208102,0.24176931952536482
13,0.6775525800238728,0.27905572022190434,2.354950815241379,0.7628539465025453,0.2588215725481552,2.1841948725854876,0.19177916351128693,0.037604264319938886,0.3173423316546701,0.14787499074532387,0.029874897569477133,0.25211421694042907,0.17096100401311906,0.03640771719132778,0.3072446721845229,0.13818477594759804,0.028549469557022967,0.2409289318798303
14,0.4565738109545132,0.1332925228784514,1.1248554058256859,0.8474853758593102,0.28547192007927474,2.4090971164634105,0.15835483558050392,0.03229293096836642,0.27251999726081483,0.1218559698317414,0.025093489796048876,0.21176392372629094,0.1461464642349542,0.03211407132039704,0.2710106009529222,0.11239980397354095,0.02357198496063315,0.1989239466431954
15,0.4886900113384455,0.2217484712468648,1.8713350248691425,0.8509323637075064,0.2786471530925154,2.351502917833399,0.13427709304342683,0.03255948487123529,0.2747694452576796,0.09834449772741578,0.019648031160406913,0.16580970625613548,0.13275640702121752,0.03476671844639314,0.29339628617358254,0.09400353339096312,0.017506274562950123,0.1477354254593874
16,0.3711462358423743,0.14552717729582187,1.2281036365785691,0.625306724443966,0.1792271028658337,1.5124972592269958,0.1444502822495375,0.05010597189037105,0.4228442235760656,0.10717353508346142,0.029120531310696574,0.2457481211847384,0.13058391904389877,0.039585556854678364,0.334062456460591,0.09671237443260663,0.025506586575425986,0.2152500468439039
