Noise [%],max_zT: sample mean [%],max_zT: half-length of 95% confidence interval for population mean [%],max_zT: sample standard deviation [%],T_for_(max_zT): sample mean [%],T_for_(max_zT): half-length of 95% confidence interval for population mean [%],T_for_(max_zT): sample standard deviation [%],max_power_density: sample mean [%],max_power_density: half-length of 95% confidence interval for population mean [%],max_power_density: sample standard deviation [%],I_for_(max_power_density): sample mean [%],I_for_(max_power_density): half-length of 95% confidence interval for population mean [%],I_for_(max_power_density): sample standard deviation [%],max_efficiency: sample mean [%],max_efficiency: half-length of 95% confidence interval for population mean [%],max_efficiency: sample standard deviation [%],I_for_(max_efficiency): sample mean [%],I_for_(max_efficiency): half-length of 95% confidence interval for population mean [%],I_for_(max_efficiency): sample standard deviation [%]
0,1.1204508950394108,0.423202874115101,3.571408436341462,1.4001463247528254,0.3742975399483588,3.1586963927609215,0.4759035461784557,0.11199515443040009,0.9451269446088655,0.3272121177994693,0.06982623152377335,0.5892634658102806,0.4668521300251709,0.1191599112498514,1.0055903169402265,0.29883306758977035,0.06397995559800614,0.5399267518143678
1,1.9146890789420414,0.42708718812842666,3.604188156624783,1.6298159378442192,0.318283513352256,2.6859941041550837,0.7431044465031892,0.11286925651928609,0.9525034908598773,0.4752820375696593,0.071485119443947,0.6032628185449261,0.680245041818798,0.11832191937412602,0.9985185047253188,0.42255596072521084,0.06474781978419894,0.5464067565597694
2,2.8485924604667594,0.4701994168806487,3.9680121920761406,2.0239111981232645,0.3657011448997977,3.086151427505783,1.131579412595725,0.1191316244716397,1.005351604860226,0.7317819426236961,0.07935996853019284,0.6697186584782937,0.9909225025555041,0.12854734035298063,1.0848108174261348,0.63924352139505,0.07257213300831519,0.6124361244264601
3,3.809401452072418,0.5090131154221944,4.29556093735992,2.3327220396417134,0.4279106385943995,3.611137253904035,1.5567236828449753,0.15564603577025568,1.3134966684602698,0.9947408711436485,0.10263351261228855,0.8661240629835454,1.3800289546731719,0.14567873136788567,1.2293826011712892,0.8531250844685913,0.09281133403287332,0.7832347123024456
4,4.883835876315691,0.5081492796258057,4.288271028336294,2.9795714330872074,0.4810807654572018,4.059839876815598,1.9273925476793836,0.19066688952590502,1.6090376021373636,1.2072380974831682,0.10939654029761257,0.9231972437389481,1.6935501397157506,0.17378049317171484,1.4665333279760355,1.0513076333120024,0.09591074174506954,0.8093906094573142
5,5.85777241027094,0.5867739830926134,4.951784786018931,3.286169716143761,0.5199465211811268,4.387827932585419,2.417643802415365,0.24255042523590958,2.046882684190227,1.4703445870969214,0.15424039684152577,1.3016344835944114,2.055984023559137,0.23464821098986283,1.9801959097132809,1.2685753129683288,0.1422385492023903,1.2003509089029136
6,7.1455257881614775,0.6565858333280146,5.540926888157649,3.0935566015965734,0.4812573535253755,4.061330103264914,2.6631502806235567,0.23862959276716494,2.0137947847149795,1.721029481287688,0.15844561263962073,1.3371222935705507,2.303833079749159,0.20963143987767752,1.7690794148480256,1.5331755513187892,0.14130324582393208,1.1924578850586194
7,8.579415563924934,0.7744154699238333,6.535291019236078,4.101133282058918,0.5437709710638263,4.588882430337072,3.3034876030383766,0.2957420687588477,2.4957668861652396,2.0009678986087374,0.1845627699990745,1.5575249463687975,2.682021178588671,0.2544817421359089,2.1475710500772025,1.7345383160698753,0.15968066572432735,1.3475449047479293
8,10.135700359866899,0.8604385300195295,7.261239497700619,4.45279113846709,0.6675882727789487,5.633776458609091,3.625712868606406,0.3375097330288363,2.84824414391549,2.2551458413967986,0.20682669072489465,1.7454101408455385,3.0990481325848798,0.29694436915937966,2.5059130974887207,1.9525519181541682,0.18286810216604388,1.5432236470018275
9,11.236398697809555,0.9981538525529553,8.42341890335275,4.711150770271108,0.6260209015391037,5.282989473447587,4.191068815727211,0.3583846315258586,3.024407381832821,2.70855701633751,0.23713097897595903,2.001147985120526,3.448243255175688,0.31240192821908147,2.6363594158094488,2.3891175475800384,0.20957465895896812,1.7686002407579962
10,13.067076811242387,1.1764833797994838,9.928341523239823,4.610165710804175,0.6202013074003638,5.233877927013415,4.530319427501947,0.42982442452400904,3.627287690567894,2.824744927064105,0.26177965916368,2.209158161212022,3.845921539582896,0.3985889169461589,3.363691287754709,2.4507250769586433,0.23142881074379218,1.9530273957403597
